filename, language, JSON, Markdown, Ignore, JavaScript, CSS, HTML, comment, blank, total
README.md, Markdown, 0, 6, 0, 0, 0, 0, 0, 6, 12
client\.gitignore, Ignore, 0, 0, 13, 0, 0, 0, 5, 6, 24
client\README.md, Markdown, 0, 37, 0, 0, 0, 0, 0, 32, 69
client\package-lock.json, JSON, 13007, 0, 0, 0, 0, 0, 0, 1, 13008
client\package.json, JSON, 44, 0, 0, 0, 0, 0, 0, 1, 45
client\public\index.css, CSS, 0, 0, 0, 0, 96, 0, 4, 25, 125
client\public\index.html, HTML, 0, 0, 0, 0, 0, 31, 26, 2, 59
client\public\index_queries.css, CSS, 0, 0, 0, 0, 14, 0, 0, 6, 20
client\public\manifest.json, JSON, 15, 0, 0, 0, 0, 0, 0, 1, 16
client\public\surveys\index.css, CSS, 0, 0, 0, 0, 86, 0, 4, 24, 114
client\src\actions\index.js, JavaScript, 0, 0, 0, 40, 0, 0, 11, 13, 64
client\src\actions\types.js, JavaScript, 0, 0, 0, 5, 0, 0, 0, 1, 6
client\src\components\App.js, JavaScript, 0, 0, 0, 41, 0, 0, 0, 7, 48
client\src\components\Header.js, JavaScript, 0, 0, 0, 202, 0, 0, 1, 12, 215
client\src\components\pages\Dashboard.js, JavaScript, 0, 0, 0, 24, 0, 0, 12, 12, 48
client\src\components\pages\HomePage\IntroPage.js, JavaScript, 0, 0, 0, 36, 0, 0, 0, 4, 40
client\src\components\pages\HomePage\Templates.js, JavaScript, 0, 0, 0, 28, 0, 0, 0, 5, 33
client\src\components\pages\SurveyList.js, JavaScript, 0, 0, 0, 63, 0, 0, 0, 4, 67
client\src\components\pages\surveys\CreateSurvey.js, JavaScript, 0, 0, 0, 30, 0, 0, 0, 8, 38
client\src\components\pages\surveys\SurveyField.js, JavaScript, 0, 0, 0, 24, 0, 0, 2, 5, 31
client\src\components\pages\surveys\SurveyForm.js, JavaScript, 0, 0, 0, 78, 0, 0, 2, 9, 89
client\src\components\pages\surveys\SurveyFormReview.js, JavaScript, 0, 0, 0, 66, 0, 0, 1, 12, 79
client\src\components\pages\surveys\surveyTextareaField.js, JavaScript, 0, 0, 0, 19, 0, 0, 2, 4, 25
client\src\components\reusable\NoResponse.js, JavaScript, 0, 0, 0, 15, 0, 0, 0, 5, 20
client\src\components\reusable\Payments.js, JavaScript, 0, 0, 0, 41, 0, 0, 2, 4, 47
client\src\components\reusable\YesResponse.js, JavaScript, 0, 0, 0, 15, 0, 0, 0, 5, 20
client\src\index.js, JavaScript, 0, 0, 0, 13, 0, 0, 7, 8, 28
client\src\reducers\authReducer.js, JavaScript, 0, 0, 0, 12, 0, 0, 0, 5, 17
client\src\reducers\frontEndReducers.js, JavaScript, 0, 0, 0, 12, 0, 0, 0, 5, 17
client\src\reducers\index.js, JavaScript, 0, 0, 0, 11, 0, 0, 0, 4, 15
client\src\reducers\surveysReducer.js, JavaScript, 0, 0, 0, 10, 0, 0, 0, 5, 15
client\src\serviceWorker.js, JavaScript, 0, 0, 0, 92, 0, 0, 31, 13, 136
client\src\setupProxy.js, JavaScript, 0, 0, 0, 4, 0, 0, 0, 3, 7
client\src\utils\validateEmails.js, JavaScript, 0, 0, 0, 12, 0, 0, 0, 6, 18
config\prod.js, JavaScript, 0, 0, 0, 10, 0, 0, 0, 3, 13
config\secrets.js, JavaScript, 0, 0, 0, 5, 0, 0, 3, 3, 11
index.js, JavaScript, 0, 0, 0, 44, 0, 0, 14, 19, 77
middlewares\requireCredits.js, JavaScript, 0, 0, 0, 6, 0, 0, 0, 3, 9
middlewares\requireLogin.js, JavaScript, 0, 0, 0, 6, 0, 0, 0, 3, 9
models\Survey.js, JavaScript, 0, 0, 0, 15, 0, 0, 0, 4, 19
models\recipient.js, JavaScript, 0, 0, 0, 7, 0, 0, 0, 4, 11
models\user.js, JavaScript, 0, 0, 0, 9, 0, 0, 3, 4, 16
package-lock.json, JSON, 5061, 0, 0, 0, 0, 0, 0, 1, 5062
package.json, JSON, 40, 0, 0, 0, 0, 0, 0, 2, 42
routes\authRoutes.js, JavaScript, 0, 0, 0, 15, 0, 0, 6, 7, 28
routes\billingRoutes.js, JavaScript, 0, 0, 0, 16, 0, 0, 4, 6, 26
routes\surveyRoutes.js, JavaScript, 0, 0, 0, 105, 0, 0, 26, 14, 145
sendgrid_webhook.js, JavaScript, 0, 0, 0, 4, 0, 0, 0, 1, 5
services\Mailer.js, JavaScript, 0, 0, 0, 44, 0, 0, 2, 17, 63
services\emailTemplates\surveyTemplate.js, JavaScript, 0, 0, 0, 29, 0, 0, 0, 1, 30
services\passport.js, JavaScript, 0, 0, 0, 37, 0, 0, 39, 8, 84
Total, -, 18167, 43, 13, 1245, 196, 31, 207, 363, 20265
